test_id,test_name,healthians_parameter_id,is_available,display_order,parameter_key,unit,meaning,lower_range_male,higher_range_male,lower_range_female,higher_range_female,causes_when_high,causes_when_low,effects_when_high,effects_when_low,what_to_do_when_low,what_to_do_when_high,parameter_type,price,original_price,is_most_popular,gender_suitability
39,Calcium Total,,TRUE,,calcium_total,,"Calcium is one of the most essential minerals in the body, with only about 1% circulating in the blood while the rest is stored in bones and teeth. This circulating portion is critical for proper nerve signaling, muscle contraction, and heart function.",,,,,"Parathyroid hormone imbalances, vitamin D deficiency or excess, kidney dysfunction, certain medications, and poor dietary intake can all shift calcium levels, while albumin levels in the blood also directly affect how total calcium is measured and interpreted.","Parathyroid hormone imbalances, vitamin D deficiency or excess, kidney dysfunction, certain medications, and poor dietary intake can all shift calcium levels, while albumin levels in the blood also directly affect how total calcium is measured and interpreted.","High calcium can cause fatigue, confusion, kidney stones, and irregular heart rhythms, whereas low calcium can lead to muscle cramps, numbness, weakened bones, and in severe cases, abnormal heart function and seizures.","High calcium can cause fatigue, confusion, kidney stones, and irregular heart rhythms, whereas low calcium can lead to muscle cramps, numbness, weakened bones, and in severe cases, abnormal heart function and seizures.","Ensure adequate calcium intake through dietary sources such as dairy, leafy greens, and fortified foods. Pairing this with sufficient vitamin D is essential. Supplement only under medical guidance to avoid overcorrection.","Consult a doctor to identify the underlying cause, particularly parathyroid or kidney-related issues. Avoid excessive calcium supplementation unless specifically prescribed.",test,,,FALSE,
40,Chlorides,,TRUE,,chlorides,,"Chloride is an electrolyte that plays a key role in maintaining the body's fluid balance, acid-base balance, and proper functioning of muscles, nerves, and the heart. It also supports normal fluid absorption and excretion.",,,,,"Dehydration and kidney disease can raise chloride levels, while vomiting, diarrhea, respiratory conditions, and certain medications can cause loss or imbalance, pushing levels below normal depending on the pattern of fluid and electrolyte loss.","Dehydration and kidney disease can raise chloride levels, while vomiting, diarrhea, respiratory conditions, and certain medications can cause loss or imbalance, pushing levels below normal depending on the pattern of fluid and electrolyte loss.","High chloride can disrupt the body's acid-base balance, leading to fatigue, weakness, and in severe cases, breathing difficulties, whereas low chloride can cause muscle weakness, irregular heart rhythms, and fluid imbalances that affect overall cellular function.","High chloride can disrupt the body's acid-base balance, leading to fatigue, weakness, and in severe cases, breathing difficulties, whereas low chloride can cause muscle weakness, irregular heart rhythms, and fluid imbalances that affect overall cellular function.","Address the root cause of fluid or electrolyte loss, such as managing vomiting, diarrhea, or respiratory conditions. Maintaining adequate hydration and a balanced electrolyte intake typically helps normalize levels within hours to days as the underlying condition resolves.","Ensure adequate hydration. If levels remain high despite good fluid intake, consult a doctor to evaluate kidney function or any underlying acid-base disorder.",test,,,FALSE,
26,Creatinine,,TRUE,,creatinine,mg/dL,Creatinine is a chemical waste product generated by muscle metabolism and filtered out of the blood by the kidneys. Its level in the blood is a direct and reliable indicator of how well the kidneys are functioning.,0.6,1.6,0.3,1.2,"Poor kidney function, dehydration, high muscle mass, certain medications, and acute kidney injury can raise creatinine, while low muscle mass or a very low protein diet can cause levels to fall below normal.","Poor kidney function, dehydration, high muscle mass, certain medications, and acute kidney injury can raise creatinine, while low muscle mass or a very low protein diet can cause levels to fall below normal.","Elevated creatinine signals that the kidneys are not filtering waste efficiently, which can progress to toxic buildup if unaddressed, whereas low levels are generally not a medical concern and often reflect low muscle mass.","Elevated creatinine signals that the kidneys are not filtering waste efficiently, which can progress to toxic buildup if unaddressed, whereas low levels are generally not a medical concern and often reflect low muscle mass.",No direct intervention is usually needed; focus on maintaining adequate protein intake and muscle health through balanced nutrition and regular exercise.,Stay well hydrated and consult a doctor to rule out kidney damage or medication-related causes.,test,,,FALSE,
41,Sodium,,TRUE,,sodium,,"Sodium is an essential mineral that regulates fluid balance, nerve signaling, and muscle function throughout the body. It is one of the most tightly controlled electrolytes, with the kidneys and hormones working together to keep levels stable.",,,,,"Dehydration, excessive salt intake, heart failure, and hormonal imbalances can raise sodium levels, while excessive water intake, kidney dysfunction, or certain medications can dilute or deplete sodium below normal.","Dehydration, excessive salt intake, heart failure, and hormonal imbalances can raise sodium levels, while excessive water intake, kidney dysfunction, or certain medications can dilute or deplete sodium below normal.","High sodium can cause fluid retention, high blood pressure, and in severe cases confusion and neurological symptoms, whereas low sodium can lead to nausea, headaches, muscle weakness, and in serious cases seizures or loss of consciousness.","High sodium can cause fluid retention, high blood pressure, and in severe cases confusion and neurological symptoms, whereas low sodium can lead to nausea, headaches, muscle weakness, and in serious cases seizures or loss of consciousness.",Avoid excessive water intake and address any underlying hormonal or kidney-related cause with medical guidance to restore balance safely.,"Increase fluid intake and reduce excess dietary salt, and consult a doctor if levels are significantly elevated or linked to an underlying condition.",test,,,FALSE,
28,Uric Acid,,TRUE,,uric_acid,mg/dL,"Uric acid is a waste product formed during the breakdown of purines - compounds found naturally in certain foods and body cells and is normally filtered out by the kidneys through urine. Excess uric acid in the blood can accumulate in joints and tissues, contributing to gout and kidney stones.",3.5,7.2,2.6,6,"Purine-rich foods like organ meats and shellfish, fructose, alcohol, dehydration, poor kidney function, and metabolic syndrome can raise uric acid, while very low purine diets or certain medications can cause levels to drop below normal.","Purine-rich foods like organ meats and shellfish, fructose, alcohol, dehydration, poor kidney function, and metabolic syndrome can raise uric acid, while very low purine diets or certain medications can cause levels to drop below normal.","Persistently high uric acid can lead to painful gout attacks, joint inflammation, and kidney stone formation, whereas low levels are generally not a concern and rarely cause noticeable symptoms.","Persistently high uric acid can lead to painful gout attacks, joint inflammation, and kidney stone formation, whereas low levels are generally not a concern and rarely cause noticeable symptoms.","Low uric acid typically requires no intervention; maintaining a balanced diet is sufficient, though persistent low levels should be briefly reviewed with a doctor.","Reduce intake of purine-rich foods, fructose, and alcohol, stay well hydrated to support kidney clearance, and consult a doctor if levels remain elevated or gout symptoms are present.",test,,,FALSE,
33,Triglycerides,,TRUE,,triglycerides,mg/dL,"Triglycerides are a type of fat circulating in the blood, formed when the body converts excess calories it doesn't immediately need into stored fat. Persistently high levels can contribute to hardening and thickening of artery walls, significantly raising the risk of heart attack, stroke, and heart disease.",0,150,0,150,"Refined carbohydrates, sugar, fructose, alcohol, excess calorie intake, obesity, insulin resistance, and genetics are the primary drivers of elevated triglycerides, while very low fat diets or certain medications can push levels below normal.","Refined carbohydrates, sugar, fructose, alcohol, excess calorie intake, obesity, insulin resistance, and genetics are the primary drivers of elevated triglycerides, while very low fat diets or certain medications can push levels below normal.","High triglycerides accelerate arterial plaque buildup and increase cardiovascular risk, and at very high levels can also cause inflammation of the pancreas, whereas low levels are generally not a health concern.","High triglycerides accelerate arterial plaque buildup and increase cardiovascular risk, and at very high levels can also cause inflammation of the pancreas, whereas low levels are generally not a health concern.",Low triglycerides require no intervention and are generally a positive sign of healthy fat metabolism and diet.,"Reduce refined carbs, sugar, and alcohol intake, incorporate omega-3 rich foods and regular exercise, and maintain a healthy weight - significant improvement can occur within 2–4 weeks of consistent changes.",test,,,FALSE,
30,Cholesterol Total,,TRUE,,cholesterol_total,mg/dL,"Total cholesterol is a calculated sum of HDL, LDL, and VLDL levels in the blood, and serves as a broad initial indicator of cardiovascular health. It is also an essential building block for hormone production and vitamin D synthesis in the body.",0,200,0,200,"A diet high in saturated fat and refined carbohydrates, genetics, excess body weight, low physical activity, thyroid dysfunction, and certain medications can all raise total cholesterol, while very low fat diets or malnutrition can push levels below normal.","A diet high in saturated fat and refined carbohydrates, genetics, excess body weight, low physical activity, thyroid dysfunction, and certain medications can all raise total cholesterol, while very low fat diets or malnutrition can push levels below normal.","Persistently high total cholesterol increases the risk of arterial plaque buildup and cardiovascular disease, though the balance between HDL and LDL matters more than the total number alone, whereas abnormally low levels may affect hormone production and overall cellular health.","Persistently high total cholesterol increases the risk of arterial plaque buildup and cardiovascular disease, though the balance between HDL and LDL matters more than the total number alone, whereas abnormally low levels may affect hormone production and overall cellular health.","Ensure adequate intake of healthy fats from sources like nuts, seeds, and olive oil, and consult a doctor if levels are significantly low alongside other hormonal or nutritional concerns.","Focus on improving the HDL to LDL ratio through a whole foods diet, regular exercise, healthy weight maintenance, and limiting processed foods.",test,,,FALSE,
32,HDL Cholestrol Direct,,TRUE,,hdl_cholestrol_direct,mg/dL,"HDL is known as the ""good cholesterol"" because it transports cholesterol away from artery walls back to the liver for removal, actively helping prevent and reduce arterial plaque buildup. Higher HDL levels are consistently associated with a lower risk of heart disease and stroke.",40,60,40,60,"Regular exercise, healthy fat intake, and moderate lifestyle habits raise HDL, while smoking, trans fats, excessive refined carbohydrates, alcohol, and genetics can lower it below the protective range.","Regular exercise, healthy fat intake, and moderate lifestyle habits raise HDL, while smoking, trans fats, excessive refined carbohydrates, alcohol, and genetics can lower it below the protective range.","High HDL is protective and reduces cardiovascular risk by clearing excess cholesterol from arteries, whereas low HDL leaves arterial walls more vulnerable to plaque accumulation, increasing the long-term risk of heart disease.","High HDL is protective and reduces cardiovascular risk by clearing excess cholesterol from arteries, whereas low HDL leaves arterial walls more vulnerable to plaque accumulation, increasing the long-term risk of heart disease.","Incorporate regular aerobic exercise, quit smoking, reduce trans fats and refined carbs, and add healthy fat sources like olive oil, nuts, and fatty fish","High HDL is a positive finding maintain the lifestyle habits supporting it, such as regular aerobic exercise and a diet rich in healthy fats.",test,,,FALSE,
34,Non-HDL Cholestrol,,TRUE,,non_hdl_cholestrol,mg/dL,"Non-HDL cholesterol represents the total amount of ""bad"" cholesterol in the blood, calculated by subtracting HDL from total cholesterol. It is considered a more comprehensive and reliable marker of cardiovascular risk than LDL alone, as it captures all cholesterol-carrying particles that contribute to arterial plaque buildup.",0,160,0,160,"High saturated fat and refined carbohydrate intake, obesity, insulin resistance, low physical activity, genetics, and thyroid dysfunction can raise Non-HDL cholesterol, while very low fat diets or cholesterol-lowering medications can bring levels below normal.","High saturated fat and refined carbohydrate intake, obesity, insulin resistance, low physical activity, genetics, and thyroid dysfunction can raise Non-HDL cholesterol, while very low fat diets or cholesterol-lowering medications can bring levels below normal.","Elevated Non-HDL cholesterol accelerates plaque formation in artery walls, significantly increasing the risk of heart attack and stroke over time, whereas very low levels are uncommon and may occasionally affect hormone and cellular health.","Elevated Non-HDL cholesterol accelerates plaque formation in artery walls, significantly increasing the risk of heart attack and stroke over time, whereas very low levels are uncommon and may occasionally affect hormone and cellular health.",Very low Non-HDL is rarely a concern; ensure adequate healthy fat intake and consult a doctor if it occurs alongside other significant lipid abnormalities.,"Reduce refined carbs, sugar, and saturated fats, prioritize fiber-rich whole foods, and maintain regular physical activity",test,,,FALSE,
35,CHOL/HDL Ratio,,TRUE,,chol_hdl_ratio,,"The Cholesterol/HDL ratio is calculated by dividing total cholesterol by HDL, and is used as a quick indicator of cardiovascular risk. A lower ratio is better, as it reflects a healthier balance between total cholesterol and the protective HDL fraction.",0,4.4,0,4.4,"High total cholesterol, low HDL, poor diet, physical inactivity, smoking, and metabolic conditions drive the ratio higher, while regular exercise, healthy fat intake, and good overall lipid management bring it down.","High total cholesterol, low HDL, poor diet, physical inactivity, smoking, and metabolic conditions drive the ratio higher, while regular exercise, healthy fat intake, and good overall lipid management bring it down.","A high ratio signals a greater imbalance between harmful and protective cholesterol, increasing the risk of arterial plaque buildup and cardiovascular disease, whereas a low ratio reflects a favorable lipid profile with strong cardiovascular protection.","A high ratio signals a greater imbalance between harmful and protective cholesterol, increasing the risk of arterial plaque buildup and cardiovascular disease, whereas a low ratio reflects a favorable lipid profile with strong cardiovascular protection.",A low ratio is a positive finding - maintain the diet and lifestyle habits that are supporting this healthy balance.,"Focus on simultaneously lowering total cholesterol and raising HDL through regular aerobic exercise, a whole foods diet, and reducing refined carbs and unhealthy fats.",test,,,FALSE,
57,HDL/LDL Cholestrol Ratio,,TRUE,,hdl/ldl_cholestrol_ratio,,"The HDL/LDL ratio is the inverse of the LDL/HDL ratio and measures how well the protective cholesterol balances against the harmful fraction. A higher ratio is better, indicating that HDL levels are strong relative to LDL, which is associated with reduced cardiovascular risk",,,,,"High HDL from regular exercise and healthy fat intake combined with well-managed LDL levels raises this ratio, while low HDL from smoking or inactivity and high LDL from poor diet and genetics can lower it significantly.","High HDL from regular exercise and healthy fat intake combined with well-managed LDL levels raises this ratio, while low HDL from smoking or inactivity and high LDL from poor diet and genetics can lower it significantly.","A high HDL/LDL ratio reflects strong cardiovascular protection with effective cholesterol clearance from arteries, whereas a low ratio indicates that harmful cholesterol is dominating, increasing the risk of plaque buildup and heart disease.","A high HDL/LDL ratio reflects strong cardiovascular protection with effective cholesterol clearance from arteries, whereas a low ratio indicates that harmful cholesterol is dominating, increasing the risk of plaque buildup and heart disease.","Prioritize raising HDL through aerobic exercise and healthy fats while reducing LDL through fiber-rich foods, less processed food consumption, and avoiding smoking.","A high ratio is a positive sign - sustain regular physical activity, healthy fat consumption, and a balanced diet to maintain this favorable profile.",test,,,FALSE,
56,LDL/HDL Cholestrol,,TRUE,,ldl/hdl_cholestrol,,"The LDL/HDL ratio compares the level of harmful cholesterol directly against the protective cholesterol, making it one of the most targeted indicators of cardiovascular risk. A lower ratio reflects better arterial protection and a healthier overall lipid balance.",,,,,"Elevated LDL from poor diet, inactivity, and genetics combined with low HDL from smoking, trans fat intake, and sedentary habits push this ratio higher, while lifestyle improvements that simultaneously lower LDL and raise HDL bring it down.","Elevated LDL from poor diet, inactivity, and genetics combined with low HDL from smoking, trans fat intake, and sedentary habits push this ratio higher, while lifestyle improvements that simultaneously lower LDL and raise HDL bring it down.","A high LDL/HDL ratio indicates that harmful cholesterol significantly outweighs the protective fraction, accelerating arterial plaque risk, whereas a low ratio reflects that HDL is effectively counterbalancing LDL's damaging effects.","A high LDL/HDL ratio indicates that harmful cholesterol significantly outweighs the protective fraction, accelerating arterial plaque risk, whereas a low ratio reflects that HDL is effectively counterbalancing LDL's damaging effects.",A low ratio is desirable - continue the dietary and exercise habits that are keeping LDL in check and HDL levels healthy.,"Reduce LDL through fiber-rich foods and reduced saturated fat intake, while boosting HDL through regular aerobic exercise and healthy fat sources like nuts and olive oil.",test,,,FALSE,
54,Ferritin,,TRUE,,ferritin,,Ferritin is a protein that stores iron in the body and releases it when needed. Blood ferritin levels act as the most reliable indicator of the body's total iron reserves. It is a key marker for diagnosing iron deficiency or iron overload conditions.,,,,,"Low ferritin is commonly caused by inadequate dietary iron intake, poor absorption, chronic blood loss (such as heavy periods or internal bleeding), or increased demand during pregnancy. High ferritin can result from excessive iron supplementation, frequent red meat consumption, liver disease, chronic inflammation, or conditions like haemochromatosis.","Low ferritin is commonly caused by inadequate dietary iron intake, poor absorption, chronic blood loss (such as heavy periods or internal bleeding), or increased demand during pregnancy. High ferritin can result from excessive iron supplementation, frequent red meat consumption, liver disease, chronic inflammation, or conditions like haemochromatosis.","Low ferritin leads to iron-deficiency anaemia, causing persistent fatigue, weakness, hair loss, and poor concentration. High ferritin over time can result in iron deposits in organs like the liver, heart, and joints, potentially leading to serious organ damage.","Low ferritin leads to iron-deficiency anaemia, causing persistent fatigue, weakness, hair loss, and poor concentration. High ferritin over time can result in iron deposits in organs like the liver, heart, and joints, potentially leading to serious organ damage.","Increase consumption of iron-rich foods like red meat, lentils, and leafy greens, ideally paired with Vitamin C to boost absorption. A doctor may recommend iron supplementation depending on the severity.","Reduce red meat and iron supplement intake, and consult a doctor to investigate underlying causes such as liver disease or haemochromatosis.",test,,,FALSE,
36,Alkaline Phosphatase,,TRUE,,alkaline_phosphatase,U/L,"ALP is an enzyme found throughout the body, with the highest concentrations in the liver, bile ducts, and bones. It is primarily used as a marker to assess liver and bone health, and mildly elevated levels can be normal in growing children, teenagers, and during pregnancy.",100,110,100,110,"High ALP is commonly caused by bile duct obstruction, liver disease, bone disorders, or certain medications. Vitamin D deficiency can also contribute to elevated levels. Low ALP is less common but can be associated with nutritional deficiencies or rare metabolic conditions.","High ALP is commonly caused by bile duct obstruction, liver disease, bone disorders, or certain medications. Vitamin D deficiency can also contribute to elevated levels. Low ALP is less common but can be associated with nutritional deficiencies or rare metabolic conditions.","Persistently high ALP may reflect underlying liver dysfunction or abnormal bone turnover, and if left unaddressed, can indicate progressive damage to these organs. Low ALP, though rare, may point to poor nutrition or specific metabolic issues affecting bone and liver function.","Persistently high ALP may reflect underlying liver dysfunction or abnormal bone turnover, and if left unaddressed, can indicate progressive damage to these organs. Low ALP, though rare, may point to poor nutrition or specific metabolic issues affecting bone and liver function.","Ensure adequate Vitamin D and overall nutritional intake. If levels are significantly low, seek medical evaluation to rule out any underlying metabolic condition.","Consult a doctor to identify the underlying cause, whether liver or bone related. Addressing the root condition is the primary way to normalise ALP levels.",test,,,FALSE,
48,T4,,TRUE,,t4,ug/dl,Free T4 is the primary hormone produced by the thyroid gland and serves as the main reserve that gets converted into the active Free T3 in the liver and tissues. It reflects how well the thyroid gland itself is functioning and is a key marker in evaluating overall thyroid health.,5.48,14.28,5.48,14.28,"Low Free T4 is commonly caused by an underactive thyroid, iodine deficiency, certain medications, or severe illness that suppresses thyroid gland function. High levels are typically associated with an overactive thyroid, excess iodine intake, or certain thyroid conditions that cause hormone overproduction.","Low Free T4 is commonly caused by an underactive thyroid, iodine deficiency, certain medications, or severe illness that suppresses thyroid gland function. High levels are typically associated with an overactive thyroid, excess iodine intake, or certain thyroid conditions that cause hormone overproduction.","Low Free T4 reduces the availability of active thyroid hormone in the body, leading to fatigue, weight gain, depression, and slowed bodily functions. High Free T4 overstimulates metabolism, causing symptoms like anxiety, rapid heartbeat, unexplained weight loss, and disrupted sleep.","Low Free T4 reduces the availability of active thyroid hormone in the body, leading to fatigue, weight gain, depression, and slowed bodily functions. High Free T4 overstimulates metabolism, causing symptoms like anxiety, rapid heartbeat, unexplained weight loss, and disrupted sleep.","Seek medical evaluation to identify the underlying cause. Treatment typically involves thyroid hormone replacement therapy, and levels are monitored over weeks as changes are gradual.",Consult a doctor as high Free T4 usually requires medical treatment to manage thyroid overactivity or adjust existing thyroid medication.,test,,,FALSE,
47,T3,,TRUE,,t3,ng/ml,"Free T3 is the active form of thyroid hormone that directly controls how fast cells and tissues burn energy, making it a key marker of metabolic activity. It is converted from T4 (another thyroid hormone) primarily in the liver and kidneys, and reflects how well the thyroid system is functioning at a cellular level.",0.87,1.78,0.87,1.78,"Low Free T3 is often caused by severe illness, extreme calorie restriction, chronic stress, or poor selenium intake - all of which impair the conversion of T4 to T3. High levels are typically seen in an overactive thyroid (hyperthyroidism) or from excess thyroid hormone supplementation.","Low Free T3 is often caused by severe illness, extreme calorie restriction, chronic stress, or poor selenium intake - all of which impair the conversion of T4 to T3. High levels are typically seen in an overactive thyroid (hyperthyroidism) or from excess thyroid hormone supplementation.","Low Free T3 slows metabolism, leading to fatigue, weight gain, brain fog, and feeling constantly cold. High Free T3 speeds up metabolism excessively, causing symptoms like rapid heartbeat, weight loss, anxiety, and heat intolerance.","Low Free T3 slows metabolism, leading to fatigue, weight gain, brain fog, and feeling constantly cold. High Free T3 speeds up metabolism excessively, causing symptoms like rapid heartbeat, weight loss, anxiety, and heat intolerance.","Ensure adequate calorie and carbohydrate intake, manage stress, and check selenium levels. A doctor should evaluate whether the low conversion is linked to an underlying illness or thyroid condition.","Consult a doctor promptly, as high Free T3 may indicate hyperthyroidism and usually requires medical treatment or dosage adjustment if on thyroid medication.",test,,,FALSE,
108,Lactate Dehydrogenase (LDH),,TRUE,,lactate_dehydrogenase,U/L,"LDH is an enzyme present in nearly all body tissues that gets released into the bloodstream when cells are damaged or destroyed. Elevated LDH is a general marker of tissue or muscle damage, and is used to assess the severity of various conditions rather than diagnose a specific one.",248,,247,,"High LDH is commonly triggered by intense physical exercise, muscle breakdown, hemolysis (destruction of red blood cells), liver disease, heart attack, or certain cancers. Low LDH is rare and generally not considered clinically significant. Note that improper sample handling can also produce falsely elevated results.","High LDH is commonly triggered by intense physical exercise, muscle breakdown, hemolysis (destruction of red blood cells), liver disease, heart attack, or certain cancers. Low LDH is rare and generally not considered clinically significant. Note that improper sample handling can also produce falsely elevated results.","Persistently high LDH signals ongoing tissue damage somewhere in the body, and the impact depends on the underlying cause - ranging from muscle soreness after exercise to more serious conditions affecting the liver, heart, or blood. Isolated or mildly elevated levels after exercise are usually harmless.","Persistently high LDH signals ongoing tissue damage somewhere in the body, and the impact depends on the underlying cause - ranging from muscle soreness after exercise to more serious conditions affecting the liver, heart, or blood. Isolated or mildly elevated levels after exercise are usually harmless.",Low LDH does not typically require any action and is not associated with any known health concern.,"Avoid intense exercise before retesting to rule out exercise-related elevation. If levels remain high at rest, consult a doctor to identify and treat the underlying cause.",test,,,FALSE,
19,Bilirubin Direct,,TRUE,,bilirubin_direct,mg/dL,"Direct bilirubin is the water-soluble form of bilirubin that has been processed by the liver and is ready for elimination from the body. Elevated levels specifically point to a problem with bile flow or liver processing, making it a more targeted marker for liver and bile duct health compared to total bilirubin.",0,0.2,0,0.2,"High direct bilirubin is primarily caused by bile duct obstruction, liver disease that impairs bile flow, or certain medications. Unlike indirect bilirubin, it is not elevated by hemolysis (red blood cell breakdown) alone, which helps narrow down the cause. Low direct bilirubin is generally not clinically significant.","High direct bilirubin is primarily caused by bile duct obstruction, liver disease that impairs bile flow, or certain medications. Unlike indirect bilirubin, it is not elevated by hemolysis (red blood cell breakdown) alone, which helps narrow down the cause. Low direct bilirubin is generally not clinically significant.","Elevated direct bilirubin can cause jaundice (yellowing of the skin and eyes), dark urine, and pale stools, all of which indicate impaired bile elimination. If the underlying cause is left untreated, it can lead to progressive liver damage or complications from bile duct obstruction.","Elevated direct bilirubin can cause jaundice (yellowing of the skin and eyes), dark urine, and pale stools, all of which indicate impaired bile elimination. If the underlying cause is left untreated, it can lead to progressive liver damage or complications from bile duct obstruction.",Low direct bilirubin requires no specific action and is not associated with any known health concern.,"Consult a doctor promptly to investigate for liver disease or bile duct obstruction. If a medication is suspected, the doctor may review or adjust it, with levels potentially resolving within weeks of stopping the drug.",test,,,FALSE,
16,SGPT (ALT),,TRUE,,sgpt_alt,U/L,"SGPT, also known as ALT, is an enzyme found primarily in the liver. It is one of the most direct and specific markers of liver cell health - when liver cells are damaged or inflamed, SGPT leaks into the bloodstream, causing levels to rise. It is routinely tested to assess liver function and detect liver disease early.",3,50,3,35,"High SGPT is commonly caused by fatty liver disease, alcohol consumption, viral hepatitis, certain medications, or obesity and insulin resistance. Intense exercise can also cause a mild temporary rise. Low SGPT is uncommon and generally not considered medically significant.","High SGPT is commonly caused by fatty liver disease, alcohol consumption, viral hepatitis, certain medications, or obesity and insulin resistance. Intense exercise can also cause a mild temporary rise. Low SGPT is uncommon and generally not considered medically significant.","Persistently elevated SGPT indicates ongoing liver cell damage which, if unaddressed, can progress to chronic liver disease, fibrosis, or cirrhosis over time. Mild elevations are often symptom-free, making routine testing important for early detection.","Persistently elevated SGPT indicates ongoing liver cell damage which, if unaddressed, can progress to chronic liver disease, fibrosis, or cirrhosis over time. Mild elevations are often symptom-free, making routine testing important for early detection.",Low SGPT does not require any specific action and is not associated with any known health concern.,"Reduce or eliminate alcohol, avoid unnecessary medications or supplements that stress the liver, and consult a doctor to identify the root cause. Lifestyle changes like weight loss and a balanced diet can significantly help in cases of fatty liver.",test,,,FALSE,
15,SGOT (AST),,TRUE,,sgot_ast,U/L,"SGOT, also known as AST, is an enzyme found primarily in the liver, heart, and muscles. It is released into the bloodstream when any of these tissues are damaged or under stress. While it is used as a liver health marker similar to SGPT, it is less liver-specific since it can also rise due to heart or muscle injury.",3,50,3,35,"High SGOT can be caused by liver disease, fatty liver, alcohol consumption, intense exercise, muscle injury, heart conditions, or certain medications. Because it is present in multiple organs, an elevated result often needs to be interpreted alongside other markers like SGPT and CPK to pinpoint the source. Low SGOT is generally not clinically significant.","High SGOT can be caused by liver disease, fatty liver, alcohol consumption, intense exercise, muscle injury, heart conditions, or certain medications. Because it is present in multiple organs, an elevated result often needs to be interpreted alongside other markers like SGPT and CPK to pinpoint the source. Low SGOT is generally not clinically significant.","Persistently high SGOT reflects ongoing damage to the liver, heart, or muscles, and if left unaddressed, can indicate or contribute to progressive organ disease. Mild, short-lived elevations after exercise are harmless and self-resolving.","Persistently high SGOT reflects ongoing damage to the liver, heart, or muscles, and if left unaddressed, can indicate or contribute to progressive organ disease. Mild, short-lived elevations after exercise are harmless and self-resolving.",Low SGOT does not require any specific action and is not associated with any known health concern,"Limit alcohol, avoid unnecessary medications, and manage weight through diet and exercise. Consult a doctor if levels remain elevated at rest, as further investigation may be needed to identify the affected organ.",test,,,FALSE,
18,Bilirubin Total,,TRUE,,bilirubin_total,mg/dL,"Total bilirubin measures the overall level of bilirubin in the blood - a yellow compound produced when red blood cells are broken down and recycled. The liver processes and eliminates it from the body. It serves as a broad marker of both liver function and red blood cell turnover, and elevated levels are a common cause of jaundice.",0.3,1.2,0.3,1.2,"High total bilirubin can result from liver disease, bile duct obstruction, or hemolysis (excessive red blood cell breakdown). Gilbert syndrome, a harmless genetic condition affecting around 5% of people, can also cause mildly elevated levels. Fasting can temporarily raise bilirubin as well. Low total bilirubin is generally not clinically significant.","High total bilirubin can result from liver disease, bile duct obstruction, or hemolysis (excessive red blood cell breakdown). Gilbert syndrome, a harmless genetic condition affecting around 5% of people, can also cause mildly elevated levels. Fasting can temporarily raise bilirubin as well. Low total bilirubin is generally not clinically significant.","Elevated bilirubin causes jaundice - visible yellowing of the skin and eyes - along with dark urine and fatigue. If driven by an underlying liver or bile duct condition, persistently high levels can indicate or worsen organ damage over time. Gilbert syndrome-related elevation is benign and requires no treatment.","Elevated bilirubin causes jaundice - visible yellowing of the skin and eyes - along with dark urine and fatigue. If driven by an underlying liver or bile duct condition, persistently high levels can indicate or worsen organ damage over time. Gilbert syndrome-related elevation is benign and requires no treatment.",Low total bilirubin does not require any specific action and is not associated with any known health concern.,"Consult a doctor to determine the underlying cause. Avoid alcohol and hepatotoxic substances, and maintain a healthy weight to support liver health. If fasting-related, eating regularly can help normalise levels quickly.",test,,,FALSE,
20,Bilirubin Indirect,,TRUE,,bilirubin_indirect,mg/dL,"Indirect bilirubin is the unprocessed form of bilirubin that is yet to be taken up and converted by the liver. Measuring it helps distinguish whether elevated bilirubin is coming from excessive red blood cell breakdown or from impaired liver uptake, making it a useful marker for identifying the source of the problem.",0,0.8,0,0.8,"High indirect bilirubin is primarily caused by hemolysis (increased red blood cell destruction), impaired liver uptake, or Gilbert syndrome - a common benign genetic condition that causes mild fluctuations, especially with fasting or stress. Low indirect bilirubin is generally not clinically significant.","High indirect bilirubin is primarily caused by hemolysis (increased red blood cell destruction), impaired liver uptake, or Gilbert syndrome - a common benign genetic condition that causes mild fluctuations, especially with fasting or stress. Low indirect bilirubin is generally not clinically significant.","Elevated indirect bilirubin can cause jaundice and, if driven by significant hemolysis, may lead to anaemia and related symptoms like fatigue and weakness over time. Gilbert syndrome-related elevation is harmless and does not cause any lasting health effects.","Elevated indirect bilirubin can cause jaundice and, if driven by significant hemolysis, may lead to anaemia and related symptoms like fatigue and weakness over time. Gilbert syndrome-related elevation is harmless and does not cause any lasting health effects.",Low indirect bilirubin does not require any specific action and is not associated with any known health concern.,"if Gilbert syndrome is the likely cause, no treatment is needed. Avoid prolonged fasting to minimise fluctuations. If hemolysis is suspected, consult a doctor to identify and address the underlying condition.",test,,,FALSE,
